run_id,total_time_sec,total_bytes_expected,total_bytes_received,success_rate_percent,throughput_mbps,interests_sent,data_packets_received,timeouts,avg_chunk_rtt_ms,avg_cpu_percent,avg_mem_percent
1,14.123,104857600,104857600,100.0,59.396,102400,102400,0,272.411,25.68,35.23
2,38.157,104857600,104857600,100.0,21.985,102400,102400,0,740.998,13.72,35.72
3,38.435,104857600,104857600,100.0,21.825,102400,102400,0,746.031,14.18,35.96
4,38.452,104857600,104857600,100.0,21.816,102400,102400,0,746.688,13.57,36.11
5,38.407,104857600,104857600,100.0,21.841,102400,102400,0,746.445,13.74,36.13
6,37.219,104857600,104857600,100.0,22.539,102400,102400,0,723.085,13.64,36.2
7,32.26,104857600,104857600,100.0,26.003,102400,102400,0,624.182,16.48,36.25
8,40.271,104857600,104857600,100.0,20.83,102400,102400,0,782.344,13.13,36.22
9,39.559,104857600,104857600,100.0,21.205,102400,102400,0,767.563,13.24,36.23
10,42.334,104857600,104857600,100.0,19.815,102400,102400,0,822.5,13.37,36.23
